Employee Number,"Employee Name (Last Suffix, First MI)",Address Line 1 + Address Line 2,"City, State Zip Code (Formatted)",E-mail Address,Alternate Email,Home Phone (Formatted),Original Hire,Last Hire Date,Job Start,Seniority Date,Termination Date,Termination Reason,Employment Status,Department Name,Department Number,Job Title,Job Code,Date of Birth,Organization,Division,Job Class,Finance Score (1-10),Schedule Score (1-10),Work Life Balance Score (1-10),Family Score (1-10)
,"Pucillo, Cody",914 Bramblewood Ct.,"Greenfield, IN 46140",codypucillo@gmail.com,,+1 317-555-0142,3/3/2023 0:00,3/3/2023 0:00,3/3/2023 0:00,3/3/2023 0:00,,,Applicant,HRH Andis Unit,P7065,Purchasing Asst - R8331,R8331206,12/28/1970 0:00,Hancock Regional Health,HRH CCU,Purchasing Asst - R8331,7,4,5,9
,"Willis, Clifford",2210 Foxrun Blvd.,"New Palestine, IN 46163",clwillis1@gmail.com,,+1 317-555-0176,7/11/2023 0:00,7/11/2023 0:00,7/11/2023 0:00,7/11/2023 0:00,,,Applicant,HRH Andis Unit,R8423,Surgery Tech - R6210,R6210409,3/31/1963 0:00,Hancock Regional Health,HPN New Pal,Surgery Tech - R6210,4,8,1,3
,"Preer, Shenetta",77 Wrenfield Ln.,"McCordsville, IN 46055",benoityvetara27@gmail.com,,+1 317-555-0198,3/23/2024 0:00,3/23/2024 0:00,3/23/2024 0:00,3/23/2024 0:00,,,Applicant,HRH Andis Unit,R6171,Resp Therapist - R6171,R6171342,9/4/1985 0:00,Hancock Regional Health,HRH 3N,Resp Therapist - R6171,8,8,10,5
,"Rutledge, Hannah",553 Millgrove Rd.,"Fortville, IN 46040",hannah.l.rutledge1@gmail.com,,+1 765-555-0212,4/21/2024 0:00,4/21/2024 0:00,4/21/2024 0:00,4/21/2024 0:00,,,Applicant,HRH Andis Unit,R8387,Nuclear Tech - R7061,R7061436,12/21/1982 0:00,Hancock Regional Health,HRH Nuclear Med,Nuclear Tech - R7061,5,3,6,3
,"Smith, Mandy",1201 Cherry Blossom Way,"Greenfield, IN 46140",mandybbsmith@gmail.com,,+1 317-555-0233,10/31/2025 0:00,10/31/2025 0:00,10/31/2025 0:00,10/31/2025 0:00,,,Applicant,HRH Andis Unit,R7047,Staff Nurse RN - R6121,R6121306,1/10/1981 0:00,Hancock Regional Health,HRH Purchasing,Staff Nurse RN - R6121,7,6,9,7
,"Kotte, Vinay",88 Riverbend Ct.,"Fishers, IN 46037",vinaykotte419@gmail.com,,+1 317-555-0267,5/17/2026 0:00,5/17/2026 0:00,5/17/2026 0:00,5/17/2026 0:00,,,Applicant,HRH Andis Unit,R7047,Medical Receptionist,571,7/9/1973 0:00,Hancock Regional Health,HRH CT Scan,Medical Receptionist,10,5,1,5
,"Galarno, Addison",364 Willowbrook Dr.,"Greenfield, IN 46140",addymajor03@gmail.com,,+1 317-555-0284,2/24/2023 0:00,2/24/2023 0:00,2/24/2023 0:00,2/24/2023 0:00,,,Applicant,HRH Andis Unit,R6210,Staff Nurse RN - R6025,R6025306,3/13/1970 0:00,Hancock Regional Health,HRH Surgery,Staff Nurse RN - R6025,3,2,10,9
,"Shaffer, Victoria",42 Sugar Maple Ln.,"New Palestine, IN 46163",victoriashaffer1993@gmail.com,,+1 317-555-0301,2/23/2026 0:00,2/23/2026 0:00,2/23/2026 0:00,2/23/2026 0:00,,,Applicant,HRH Andis Unit,R7047,Physician Hrly - R8423,R8423111,10/19/1968 0:00,Hancock Regional Health,HRH CT Scan,Physician Hrly - R8423,7,8,3,7
,"Yerramsetty, Divya",705 Harvest Ridge Ct.,"Greenfield, IN 46140",keerthiyns06@gmail.com,,+1 317-555-0319,2/12/2024 0:00,2/12/2024 0:00,2/12/2024 0:00,2/12/2024 0:00,,,Applicant,HRH Andis Unit,R8387,Surgery Tech - R6210,R6210409,11/8/1998 0:00,Hancock Regional Health,HRH Purchasing,Surgery Tech - R6210,8,6,7,2
,Ochall,12 Campus View Apt 4B,"Bloomington, IN 47401",aochall@iu.edu,,+1 812-555-0347,8/23/2026 0:00,8/23/2026 0:00,8/23/2026 0:00,8/23/2026 0:00,,,Applicant,HRH Andis Unit,R8387,Recover Navigator - R8387,R8387661,11/8/1963 0:00,Hancock Regional Health,HPN New Pal,Recover Navigator - R8387,5,2,4,4
